tipe_entitas,nama_entitas,tahun,nilai
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2007,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2007,
"Kuasa Pertambangan Swasta","Prov. Riau",2007,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2007,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2007,
"BUMN","Bukit Asam",2008,42752
"BUMN","Bukit Asam - Ombilin",2008,85706
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2008,
"Kontraktor","Adaro Indonesia, PT",2008,214928
"Kontraktor","Allied Indo Coal, PT",2008,
"Kontraktor","Antang Gunung Meratus, PT",2008,
"Kontraktor","Arutmin Indonesia, PT",2008,7381
"Kontraktor","Asmin Koalindo Tuhup, PT",2008,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2008,
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2008,
"Kontraktor","Baramarta, PD",2008,338921.25
"Kontraktor","Baramulti Suksessarana, PT",2008,
"Kontraktor","Batualam Selaras, PT",2008,
"Kontraktor","Berau Coal, PT",2008,2867
"Kontraktor","Borneo Indobara, PT",2008,
"Kontraktor","Firman Ketaun Perkasa, PT",2008,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2008,115
"Kontraktor","Indominco Mandiri, PT",2008,303786
"Kontraktor","Insani Bara Perkasa, PT",2008,17997.78
"Kontraktor","Interex Sacra Raya, PT",2008,16012
"Kontraktor","Intitirta Primasakti, PT",2008,
"Kontraktor","Jorong Barutama Greston, PT",2008,58743
"Kontraktor","Kadya Caraka Mulia, PT",2008,19157.44
"Kontraktor","Kalimantan Energi Lestari, PT",2008,162.51
"Kontraktor","Kaltim Prima Coal, PT",2008,37116
"Kontraktor","Kartika Selabumi Mining, PT",2008,
"Kontraktor","Kendilo Coal Indonesia, PT",2008,
"Kontraktor","Kideco Jaya Agung, PT",2008,603031
"Kontraktor","Lanna Harita Indonesia, PT",2008,
"Kontraktor","Mahakam Sumber Jaya, PT",2008,15793
"Kontraktor","Mandiri Intiperkasa, PT",2008,111606
"Kontraktor","Mantimin Coal Mining, PT",2008,
"Kontraktor","Marunda Graha Mineral, PT",2008,
"Kontraktor","Multi Harapan Utama, PT",2008,78680
"Kontraktor","Multi Tambangjaya Utama, PT",2008,
"Kontraktor","Nusantara Termal Coal, PT",2008,
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2008,
"Kontraktor","Perkasa Inakakerta, PT",2008,84236.42
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2008,
"Kontraktor","Riau Bara Harum, PT",2008,35901.77
"Kontraktor","Santan Batubara, PT",2008,
"Kontraktor","Senamas Energindo Mulia, PT",2008,10604.21
"Kontraktor","Singlurus Pratama, PT",2008,
"Kontraktor","Sumber Kurnia Buana, PT",2008,
"Kontraktor","Tanito Harum, PT",2008,76580.17
"Kontraktor","Tanjung Alam Jaya, PT",2008,
"Kontraktor","Teguh Sinar Abadi, PT",2008,2676.87
"Kontraktor","Trubaindo Coal Mining, PT",2008,215471
"Kontraktor","Wahana Baratama Mining, PT",2008,256139.99
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2008,
"Kuasa Pertambangan Swasta","Prov. Jambi",2008,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2008,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2008,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2008,
"Kuasa Pertambangan Swasta","Prov. Riau",2008,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2008,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2008,
"BUMN","Bukit Asam",2009,
"BUMN","Bukit Asam - Ombilin",2009,
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2009,
"Kontraktor","Adaro Indonesia, PT",2009,280875
"Kontraktor","Allied Indo Coal, PT",2009,
"Kontraktor","Antang Gunung Meratus, PT",2009,47218.73
"Kontraktor","Arutmin Indonesia, PT",2009,34186
"Kontraktor","Asmin Koalindo Tuhup, PT",2009,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2009,49641
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2009,3009.06
"Kontraktor","Baramarta, PD",2009,238148.72
"Kontraktor","Baramulti Suksessarana, PT",2009,
"Kontraktor","Batualam Selaras, PT",2009,
"Kontraktor","Berau Coal, PT",2009,133356
"Kontraktor","Borneo Indobara, PT",2009,72801.81
"Kontraktor","Firman Ketaun Perkasa, PT",2009,84533.74
"Kontraktor","Gunung Bayan Pratamacoal, PT",2009,2016.55
